縣市,鄉鎮市區,村里,105年宅數,105年比例
雲林縣,斗六市,忠孝里,104,13.44%
雲林縣,斗六市,仁愛里,94,14.65%
雲林縣,斗六市,信義里,68,17.47%
雲林縣,斗六市,四維里,82,18.83%
雲林縣,斗六市,太平里,51,12.29%
雲林縣,斗六市,中和里,60,14.40%
雲林縣,斗六市,光興里,64,13.10%
雲林縣,斗六市,三平里,305,11.72%
雲林縣,斗六市,八德里,136,10.06%
雲林縣,斗六市,鎮北里,120,9.39%
雲林縣,斗六市,龍潭里,159,9.75%
雲林縣,斗六市,鎮南里,192,9.30%
雲林縣,斗六市,林頭里,184,10.16%
雲林縣,斗六市,重光里,127,14.34%
雲林縣,斗六市,溝埧里,32,10.69%
雲林縣,斗六市,江厝里,90,8.71%
雲林縣,斗六市,三光里,40,16.37%
雲林縣,斗六市,崙?里,107,9.00%
雲林縣,斗六市,嘉東里,58,8.08%
雲林縣,斗六市,久安里,164,15.18%
雲林縣,斗六市,長平里,116,16.26%
雲林縣,斗六市,保庄里,192,8.49%
雲林縣,斗六市,虎溪里,236,10.18%
雲林縣,斗六市,梅林里,103,14.09%
雲林縣,斗六市,湖山里,83,16.80%
雲林縣,斗六市,榴中里,263,13.22%
雲林縣,斗六市,榴北里,41,10.65%
雲林縣,斗六市,榴南里,90,11.54%
雲林縣,斗六市,溪洲里,118,8.95%
雲林縣,斗六市,長安里,126,10.56%
雲林縣,斗六市,十三里,50,13.06%
雲林縣,斗六市,鎮東里,217,9.99%
雲林縣,斗六市,鎮西里,235,11.45%
雲林縣,斗六市,公正里,175,9.95%
雲林縣,斗六市,社口里,155,11.67%
雲林縣,斗六市,公誠里,170,13.98%
雲林縣,斗六市,明德里,122,8.32%
雲林縣,斗六市,成功里,114,10.06%
雲林縣,斗南鎮,東仁里,84,15.59%
雲林縣,斗南鎮,西岐里,253,10.17%
雲林縣,斗南鎮,南昌里,222,13.93%
雲林縣,斗南鎮,北銘里,86,11.47%
雲林縣,斗南鎮,中天里,80,15.37%
雲林縣,斗南鎮,舊社里,124,10.58%
雲林縣,斗南鎮,林子里,108,18.29%
雲林縣,斗南鎮,石龜里,10,2.90%
雲林縣,斗南鎮,靖興里,43,11.76%
雲林縣,斗南鎮,新南里,28,10.91%
雲林縣,斗南鎮,阿丹里,67,14.81%
雲林縣,斗南鎮,將軍里,68,10.37%
雲林縣,斗南鎮,東明里,70,18.63%
雲林縣,斗南鎮,新光里,150,14.11%
雲林縣,斗南鎮,田頭里,139,15.81%
雲林縣,斗南鎮,明昌里,298,11.74%
雲林縣,斗南鎮,大東里,78,20.52%
雲林縣,斗南鎮,埤麻里,70,20.07%
雲林縣,斗南鎮,西伯里,68,18.21%
雲林縣,斗南鎮,新崙里,98,16.74%
雲林縣,斗南鎮,小東里,91,14.76%
雲林縣,斗南鎮,石溪里,43,12.50%
雲林縣,虎尾鎮,中山里,65,12.14%
雲林縣,虎尾鎮,新興里,126,14.36%
雲林縣,虎尾鎮,東仁里,157,11.93%
雲林縣,虎尾鎮,公安里,237,13.35%
雲林縣,虎尾鎮,德興里,197,12.78%
雲林縣,虎尾鎮,西安里,304,13.47%
雲林縣,虎尾鎮,安慶里,62,9.03%
雲林縣,虎尾鎮,平和里,198,9.02%
雲林縣,虎尾鎮,興南里,100,10.68%
雲林縣,虎尾鎮,新吉里,286,12.90%
雲林縣,虎尾鎮,穎川里,115,10.67%
雲林縣,虎尾鎮,延平里,53,12.05%
雲林縣,虎尾鎮,三合里,95,16.36%
雲林縣,虎尾鎮,北溪里,43,13.60%
雲林縣,虎尾鎮,墾地里,282,31.30%
雲林縣,虎尾鎮,西屯里,59,9.78%
雲林縣,虎尾鎮,芳草里,44,12.09%
雲林縣,虎尾鎮,埒內里,117,10.72%
雲林縣,虎尾鎮,堀頭里,54,17.50%
雲林縣,虎尾鎮,安溪里,63,8.98%
雲林縣,虎尾鎮,興中里,106,13.38%
雲林縣,虎尾鎮,廉使里,226,16.41%
雲林縣,虎尾鎮,惠來里,182,17.31%
雲林縣,虎尾鎮,頂溪里,102,10.51%
雲林縣,虎尾鎮,中溪里,76,14.13%
雲林縣,虎尾鎮,下溪里,50,9.39%
雲林縣,虎尾鎮,建國里,31,13.77%
雲林縣,虎尾鎮,立仁里,161,8.08%
雲林縣,虎尾鎮,東屯里,50,9.88%
雲林縣,西螺鎮,振興里,83,15.19%
雲林縣,西螺鎮,大園里,90,12.32%
雲林縣,西螺鎮,廣福里,127,11.93%
雲林縣,西螺鎮,正興里,196,13.55%
雲林縣,西螺鎮,永安里,55,27.21%
雲林縣,西螺鎮,中和里,76,22.47%
雲林縣,西螺鎮,福興里,67,17.43%
雲林縣,西螺鎮,光華里,93,15.37%
雲林縣,西螺鎮,中興里,139,11.26%
雲林縣,西螺鎮,漢光里,241,12.01%
雲林縣,西螺鎮,新安里,36,7.87%
雲林縣,西螺鎮,新豐里,58,9.62%
雲林縣,西螺鎮,詔安里,45,11.00%
雲林縣,西螺鎮,河南里,99,20.05%
雲林縣,西螺鎮,安定里,111,16.77%
雲林縣,西螺鎮,福田里,59,11.90%
雲林縣,西螺鎮,大新里,74,14.22%
雲林縣,西螺鎮,埤頭里,44,14.46%
雲林縣,西螺鎮,東興里,44,12.54%
雲林縣,西螺鎮,廣興里,51,15.18%
雲林縣,西螺鎮,鹿場里,78,15.33%
雲林縣,西螺鎮,頂湳里,40,12.56%
雲林縣,西螺鎮,下湳里,46,14.42%
雲林縣,西螺鎮,九隆里,38,16.25%
雲林縣,西螺鎮,吳厝里,82,15.94%
雲林縣,西螺鎮,七座里,40,14.42%
雲林縣,西螺鎮,公?里,50,9.43%
雲林縣,土庫鎮,忠正里,85,19.64%
雲林縣,土庫鎮,順天里,47,10.86%
雲林縣,土庫鎮,宮北里,72,12.45%
雲林縣,土庫鎮,越港里,62,13.09%
雲林縣,土庫鎮,溪邊里,37,9.43%
雲林縣,土庫鎮,興新里,80,13.23%
雲林縣,土庫鎮,奮起里,104,19.01%
雲林縣,土庫鎮,埤腳里,112,20.89%
雲林縣,土庫鎮,大荖里,47,14.47%
雲林縣,土庫鎮,石廟里,124,9.82%
雲林縣,土庫鎮,東平里,62,9.20%
雲林縣,土庫鎮,南平里,90,14.02%
雲林縣,土庫鎮,北平里,28,9.33%
雲林縣,土庫鎮,西平里,83,13.28%
雲林縣,土庫鎮,後埔里,129,15.07%
雲林縣,土庫鎮,崙內里,120,17.98%
雲林縣,土庫鎮,新庄里,65,13.59%
雲林縣,北港鎮,東陽里,56,19.07%
雲林縣,北港鎮,光民里,50,16.81%
雲林縣,北港鎮,東華里,69,19.63%
雲林縣,北港鎮,南安里,75,20.50%
雲林縣,北港鎮,中和里,28,17.42%
雲林縣,北港鎮,義民里,35,19.08%
雲林縣,北港鎮,共榮里,32,15.43%
雲林縣,北港鎮,西勢里,102,16.93%
雲林縣,北港鎮,仁和里,53,22.06%
雲林縣,北港鎮,賜福里,42,24.64%
雲林縣,北港鎮,公?里,65,24.76%
雲林縣,北港鎮,大同里,91,17.00%
雲林縣,北港鎮,仁安里,33,15.73%
雲林縣,北港鎮,華勝里,229,10.69%
