縣市,鄉鎮市區,村里,106年宅數,106年比例
雲林縣,斗六市,忠孝里,114,14.56%
雲林縣,斗六市,仁愛里,94,14.67%
雲林縣,斗六市,信義里,64,16.67%
雲林縣,斗六市,四維里,83,18.80%
雲林縣,斗六市,太平里,63,15.03%
雲林縣,斗六市,中和里,57,13.77%
雲林縣,斗六市,光興里,69,14.05%
雲林縣,斗六市,三平里,261,9.82%
雲林縣,斗六市,八德里,134,9.86%
雲林縣,斗六市,鎮北里,111,8.67%
雲林縣,斗六市,龍潭里,201,11.95%
雲林縣,斗六市,鎮南里,207,10.01%
雲林縣,斗六市,林頭里,190,10.36%
雲林縣,斗六市,重光里,122,13.73%
雲林縣,斗六市,溝埧里,31,10.19%
雲林縣,斗六市,江厝里,99,9.56%
雲林縣,斗六市,三光里,39,16.11%
雲林縣,斗六市,崙?里,137,11.17%
雲林縣,斗六市,嘉東里,52,7.24%
雲林縣,斗六市,久安里,174,16.09%
雲林縣,斗六市,長平里,111,14.89%
雲林縣,斗六市,保庄里,232,10.03%
雲林縣,斗六市,虎溪里,230,9.91%
雲林縣,斗六市,梅林里,105,14.45%
雲林縣,斗六市,湖山里,96,19.44%
雲林縣,斗六市,榴中里,264,12.97%
雲林縣,斗六市,榴北里,39,10.19%
雲林縣,斗六市,榴南里,109,13.51%
雲林縣,斗六市,溪洲里,133,9.97%
雲林縣,斗六市,長安里,109,9.13%
雲林縣,斗六市,十三里,48,12.50%
雲林縣,斗六市,鎮東里,230,10.39%
雲林縣,斗六市,鎮西里,233,11.30%
雲林縣,斗六市,公正里,167,9.45%
雲林縣,斗六市,社口里,154,11.56%
雲林縣,斗六市,公誠里,172,14.21%
雲林縣,斗六市,明德里,130,8.78%
雲林縣,斗六市,成功里,129,10.97%
雲林縣,斗南鎮,東仁里,83,15.44%
雲林縣,斗南鎮,西岐里,285,11.37%
雲林縣,斗南鎮,南昌里,209,13.12%
雲林縣,斗南鎮,北銘里,82,10.91%
雲林縣,斗南鎮,中天里,87,16.67%
雲林縣,斗南鎮,舊社里,102,8.70%
雲林縣,斗南鎮,林子里,111,18.82%
雲林縣,斗南鎮,石龜里,22,6.67%
雲林縣,斗南鎮,靖興里,45,12.22%
雲林縣,斗南鎮,新南里,36,14.16%
雲林縣,斗南鎮,阿丹里,69,15.20%
雲林縣,斗南鎮,將軍里,68,10.18%
雲林縣,斗南鎮,東明里,75,19.92%
雲林縣,斗南鎮,新光里,155,14.63%
雲林縣,斗南鎮,田頭里,130,14.78%
