縣市,鄉鎮市區,村里,101年第四季宅數
新竹縣,竹北市,斗崙里,271
新竹縣,竹北市,鹿場里,117
新竹縣,竹北市,東平里,288
新竹縣,竹北市,中興里,70
新竹縣,竹北市,隘口里,226
新竹縣,竹北市,東海里,0
新竹縣,竹北市,竹北里,13
新竹縣,竹北市,竹仁里,1
新竹縣,竹北市,竹義里,1
新竹縣,竹北市,泰和里,1
新竹縣,竹北市,新社里,0
新竹縣,竹北市,聯興里,0
新竹縣,竹北市,麻園里,3
新竹縣,竹北市,溪州里,0
新竹縣,竹北市,白地里,2
新竹縣,竹北市,新港里,0
新竹縣,竹北市,大義里,0
新竹縣,竹北市,崇義里,1
新竹縣,竹北市,大眉里,2
新竹縣,竹北市,尚義里,0
新竹縣,竹北市,十興里,12
新竹縣,竹北市,新國里,0
新竹縣,竹北市,新庄里,0
新竹縣,竹北市,北崙里,4
新竹縣,竹北市,新崙里,13
新竹縣,竹北市,福德里,1
新竹縣,竹北市,東興里,23
新竹縣,竹北市,北興里,11
新竹縣,竹北市,興安里,19
新竹縣,竹北市,文化里,6
新竹縣,竹東鎮,上坪里,0
新竹縣,竹東鎮,瑞峰里,0
新竹縣,竹東鎮,軟橋里,0
新竹縣,竹東鎮,員崠里,0
新竹縣,竹東鎮,東寧里,2
新竹縣,竹東鎮,上?里,7
新竹縣,竹東鎮,大鄉里,0
新竹縣,竹東鎮,東華里,0
新竹縣,竹東鎮,商華里,0
新竹縣,竹東鎮,竹東里,4
新竹縣,竹東鎮,榮樂里,0
新竹縣,竹東鎮,?林里,2
新竹縣,竹東鎮,仁愛里,5
新竹縣,竹東鎮,五豐里,0
新竹縣,竹東鎮,三重里,81
新竹縣,竹東鎮,頭重里,29
新竹縣,竹東鎮,員山里,0
新竹縣,竹東鎮,柯湖里,0
新竹縣,竹東鎮,二重里,0
新竹縣,竹東鎮,中山里,0
新竹縣,竹東鎮,中正里,1
新竹縣,竹東鎮,南華里,0
新竹縣,竹東鎮,榮華里,5
新竹縣,竹東鎮,忠孝里,0
新竹縣,竹東鎮,陸豐里,0
新竹縣,新埔鎮,內立里,0
新竹縣,新埔鎮,寶石里,0
新竹縣,新埔鎮,文山里,1
新竹縣,新埔鎮,五埔里,0
新竹縣,新埔鎮,四座里,0
新竹縣,新埔鎮,旱坑里,0
新竹縣,新埔鎮,田新里,0
新竹縣,新埔鎮,新埔里,0
新竹縣,新埔鎮,新生里,0
新竹縣,新埔鎮,新民里,0
新竹縣,新埔鎮,上寮里,1
新竹縣,新埔鎮,下寮里,13
新竹縣,新埔鎮,南平里,0
新竹縣,新埔鎮,北平里,0
新竹縣,新埔鎮,巨埔里,0
新竹縣,新埔鎮,照門里,0
新竹縣,新埔鎮,清水里,0
新竹縣,新埔鎮,鹿鳴里,0
新竹縣,新埔鎮,新北里,0
新竹縣,關西鎮,東興里,4
新竹縣,關西鎮,西安里,0
新竹縣,關西鎮,南雄里,0
新竹縣,關西鎮,北斗里,0
新竹縣,關西鎮,仁安里,0
新竹縣,關西鎮,北山里,0
新竹縣,關西鎮,南山里,0
新竹縣,關西鎮,東安里,11
新竹縣,關西鎮,東光里,3
新竹縣,關西鎮,新富里,0
新竹縣,關西鎮,金山里,0
新竹縣,關西鎮,錦山里,0
新竹縣,關西鎮,玉山里,0
新竹縣,關西鎮,大同里,0
新竹縣,關西鎮,石光里,0
新竹縣,關西鎮,上林里,0
新竹縣,關西鎮,新力里,0
新竹縣,關西鎮,南和里,0
新竹縣,關西鎮,東山里,0
新竹縣,關西鎮,南新里,0
新竹縣,關西鎮,東平里,0
新竹縣,湖口鄉,孝勢村,0
新竹縣,湖口鄉,仁勢村,0
新竹縣,湖口鄉,愛勢村,0
新竹縣,湖口鄉,信勢村,20
新竹縣,湖口鄉,中勢村,0
新竹縣,湖口鄉,德盛村,2
新竹縣,湖口鄉,和興村,1
新竹縣,湖口鄉,長嶺村,0
新竹縣,湖口鄉,長安村,0
新竹縣,湖口鄉,湖口村,0
新竹縣,湖口鄉,湖鏡村,3
新竹縣,湖口鄉,湖南村,0
新竹縣,湖口鄉,波羅村,0
新竹縣,湖口鄉,鳳凰村,36
新竹縣,湖口鄉,鳳山村,0
新竹縣,湖口鄉,中興村,2
新竹縣,湖口鄉,信義村,7
新竹縣,湖口鄉,中正村,0
新竹縣,湖口鄉,東興村,6
新竹縣,湖口鄉,勝利村,16
新竹縣,新豐鄉,福興村,0
新竹縣,新豐鄉,後湖村,0
新竹縣,新豐鄉,青埔村,2
新竹縣,新豐鄉,埔和村,0
新竹縣,新豐鄉,瑞興村,0
新竹縣,新豐鄉,坡頭村,0
新竹縣,新豐鄉,中崙村,6
新竹縣,新豐鄉,重興村,0
新竹縣,新豐鄉,新豐村,1
新竹縣,新豐鄉,員山村,130
新竹縣,新豐鄉,松林村,0
新竹縣,新豐鄉,上坑村,2
新竹縣,新豐鄉,鳳坑村,0
